state_name,state,fips,fed_cattle,lat,lon,region,contract_share
IOWA,19,19175,2830,41.027729,-94.242348,5,0.372
IOWA,19,19177,809,40.753021,-91.950211,5,0.372
IOWA,19,19179,1704,41.030651,-92.409546,5,0.372
IOWA,19,19181,1633,41.334156,-93.560448,5,0.372
IOWA,19,19183,2871,41.335457,-91.717552,5,0.372
IOWA,19,19185,561,40.739689,-93.327477,5,0.372
IOWA,19,19187,7152,42.42786,-94.177528,5,0.372
IOWA,19,19189,3766,43.377506,-93.73407,5,0.372
IOWA,19,19191,24995,43.290897,-91.844223,5,0.372
IOWA,19,19193,46358,42.389736,-96.043755,5,0.372
IOWA,19,19195,992,43.37748,-93.260857,5,0.372
IOWA,19,19197,1806,42.733089,-93.735168,5,0.372
KANSAS,20,20001,594,37.885506,-95.302628,2,0.703
KANSAS,20,20003,290,38.214134,-95.292725,2,0.703
KANSAS,20,20005,464,39.531162,-95.315536,2,0.703
KANSAS,20,20007,4380,37.228928,-98.68457,2,0.703
KANSAS,20,20009,55602.7931,38.478935,-98.756325,2,0.703
KANSAS,20,20011,210,37.855167,-94.849876,2,0.703
KANSAS,20,20013,3948,39.826508,-95.564201,2,0.703
KANSAS,20,20015,51496,37.781326,-96.838844,2,0.703
KANSAS,20,20017,24983,38.302753,-96.593239,2,0.703
KANSAS,20,20019,55602.7931,37.150005,-96.245255,2,0.703
KANSAS,20,20021,391,37.169182,-94.846222,2,0.703
